seed,intended_valence,intended_arousal,perceived_valence,perceived_arousal,wav
2,0.2666666666666666,-0.8,-0.48414868116378784,-0.7400115728378296,therapeutic_track_1_emotional_regulation_Depression_20260823_060407.wav
2,0.2666666666666666,-0.2666666666666667,-0.4403308033943176,-0.7467098832130432,therapeutic_track_1_emotional_regulation_Depression_20260823_060409.wav
2,0.2666666666666666,0.2666666666666666,-0.18680894374847412,-0.6458719372749329,therapeutic_track_1_emotional_regulation_Depression_20260823_060412.wav
2,0.2666666666666666,0.8,-0.1859508752822876,-0.5868152379989624,therapeutic_track_1_emotional_regulation_Depression_20260823_060414.wav
2,0.8,-0.8,-0.5082149505615234,-0.8327787518501282,therapeutic_track_1_emotional_regulation_Depression_20260823_060417.wav
2,0.8,-0.2666666666666667,-0.2949110269546509,-0.7069700956344604,therapeutic_track_1_emotional_regulation_Depression_20260823_060419.wav
2,0.8,0.2666666666666666,-0.17702734470367432,-0.6362606883049011,therapeutic_track_1_emotional_regulation_Depression_20260823_060422.wav
2,0.8,0.8,-0.0038776397705078125,-0.4792560935020447,therapeutic_track_1_emotional_regulation_Depression_20260823_060424.wav
3,-0.8,-0.8,-0.5619665384292603,-0.6520481109619141,therapeutic_track_1_emotional_regulation_Depression_20260823_060757.wav
3,-0.8,-0.2666666666666667,-0.5164713859558105,-0.5984771847724915,therapeutic_track_1_emotional_regulation_Depression_20260823_060801.wav
3,-0.8,0.2666666666666666,-0.4654995799064636,-0.564374566078186,therapeutic_track_1_emotional_regulation_Depression_20260823_060805.wav
3,-0.8,0.8,-0.37920457124710083,-0.4678114652633667,therapeutic_track_1_emotional_regulation_Depression_20260823_060809.wav
3,-0.2666666666666667,-0.8,-0.2597680687904358,-0.44524359703063965,therapeutic_track_1_emotional_regulation_Depression_20260823_060814.wav
3,-0.2666666666666667,-0.2666666666666667,-0.31278544664382935,-0.5162607431411743,therapeutic_track_1_emotional_regulation_Depression_20260823_060817.wav
3,-0.2666666666666667,0.2666666666666666,-0.13369476795196533,-0.3397722840309143,therapeutic_track_1_emotional_regulation_Depression_20260823_060820.wav
3,-0.2666666666666667,0.8,-0.22238337993621826,-0.4954429268836975,therapeutic_track_1_emotional_regulation_Depression_20260823_060823.wav
3,0.2666666666666666,-0.8,-0.49266862869262695,-0.7449719309806824,therapeutic_track_1_emotional_regulation_Depression_20260823_060826.wav
3,0.2666666666666666,-0.2666666666666667,-0.4120296239852905,-0.7118853330612183,therapeutic_track_1_emotional_regulation_Depression_20260823_060828.wav
3,0.2666666666666666,0.2666666666666666,-0.17722368240356445,-0.6275482177734375,therapeutic_track_1_emotional_regulation_Depression_20260823_060831.wav
3,0.2666666666666666,0.8,-0.21808159351348877,-0.6228373050689697,therapeutic_track_1_emotional_regulation_Depression_20260823_060833.wav
3,0.8,-0.8,-0.5036006569862366,-0.819441944360733,therapeutic_track_1_emotional_regulation_Depression_20260823_060835.wav
3,0.8,-0.2666666666666667,-0.28740787506103516,-0.713563859462738,therapeutic_track_1_emotional_regulation_Depression_20260823_060838.wav
3,0.8,0.2666666666666666,-0.12716078758239746,-0.588732898235321,therapeutic_track_1_emotional_regulation_Depression_20260823_060840.wav
3,0.8,0.8,-0.04867434501647949,-0.5324885845184326,therapeutic_track_1_emotional_regulation_Depression_20260823_060843.wav
